Position,Company,Location
Enterprise Services Manager,Amazon Web Services (AWS),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps,Treehouse,"Ho Chi Minh City, Vietnam"
"IT Support Specialist, Vietnam",Kraken Digital Asset Exchange,Vietnam
"IT Support Specialist, Vietnam",Kraken Digital Asset Exchange,Vietnam
DevOps / DevSecOps Systems Engineering (Linux/Unix Systems),Oolio,"Ho Chi Minh City, Vietnam"
Data Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Compliance and Risk Specialist,CBN Secure Technologies Inc.,"Can Tho, Can Tho, Vietnam"
Pre-sales (BDM) Security (non-MS),Softline International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Professional Services,Roche,Ho Chi Minh City Metropolitan Area
Support Manager,WPP,Vietnam
Parking Enforcement Officer,"Inter-Con Security Systems, Inc.","Hanoi, Hanoi, Vietnam"
Pre-sales (BDM) Security (non-MS),Softline Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevSecOps Engineer,Trusting Social,"Ho Chi Minh City, Vietnam"
"Social Media Manager (APAC Remote/HCMC, relocation support available)",Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Trim Developer,OpSec Security,"District 7, Ho Chi Minh City, Vietnam"
UNIX ADMINISTRATOR,Allianz Malaysia,"My Tho, Vietnam"
Office director(HR/Admin/basic Finance),Dahua Technology Co. LTD,"Hanoi, Hanoi, Vietnam"
DevOps Engineer (AWS / Docker),CodeLink.io,"Ho Chi Minh City, Vietnam"
Mid/Sr. DevOps - Up to $2800 + Bonus,Saigon Technology - Top Software Outsourcing Company in Vietnam,"Ho Chi Minh City, Vietnam"
Automation Tester,Inter-K JSC,"Ho Chi Minh City, Vietnam"
Technical Team Lead,"Torus Engineering., JSC","Hanoi, Hanoi, Vietnam"
Database Administrator (L1),Accenture,"Ho Chi Minh City, Vietnam"
Principal Product Manager - Build by McKinsey - Ho Chi Minh City Based,McKinsey & Company,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Green Partnerships and Mentorship Lead,EDC (Education Development Center),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Security Expert,ELCA Informatique SA / ELCA Informatik AG,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Software Engineer in QA,Ninja Van,"Ho Chi Minh City, Vietnam"
HR Administration Assistant,International School Ho Chi Minh City,"Ho Chi Minh City, Vietnam"
IT system engineer,JAC Group,Vietnam
Enterprise Services Manager,Amazon Web Services (AWS),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"2023 Mastercard Launch, Associate Analyst, Business Development",Mastercard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Talent Acquisition Specialist- Bangkok Based,TDCX,Ho Chi Minh City Metropolitan Area
Customer Service Specialist,GBG GROUP SERVICES,"District 7, Ho Chi Minh City, Vietnam"
Quality Control Engineer,Neolab Việt Nam,"Hòa Cường Bắc, Da Nang City, Vietnam"
DevOps Engineer (Senior level),"Fossil Group, Inc.","Ho Chi Minh City, Vietnam"
General IT Consulting & Implementation Team Leader,Hitachi Vantara,Ho Chi Minh City Metropolitan Area
"Senior Manager, IT Risk Management and Controls (Bangkok Based)",Agoda,"Hanoi, Hanoi, Vietnam"
Mentor,AURA CAPITAL,"Ho Chi Minh City, Vietnam"
Client Service Associate - Vietnam Market,TDCX,Ho Chi Minh City Metropolitan Area
IT System Administrator,Constantia Flexibles,Ho Chi Minh City Metropolitan Area
Software Technical/ Business Analysts,Athena Systems,"Ho Chi Minh City, Vietnam"
Service Manager,Softline International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Product Owner,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Product Management Executive (Remote),Công Ty Cổ Phần Doa Group Việt Nam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Active Directory Engineer,Accenture,"Ho Chi Minh City, Vietnam"
Talent Acquisition Specialist,CT Group Vietnam,"Quận 3, Ho Chi Minh City, Vietnam"
Finance Manager,freelance,"Ho Chi Minh City, Vietnam"
Blockchain Developer,Athena Studio,"Ho Chi Minh City, Vietnam"
Account Executive,The Lab,"Ho Chi Minh City, Vietnam"
"[Chubb Life] Specialist, IT Helpdesk",Chubb,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Assistant Facilities Manager,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Software Tester,InnomizeTech,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Lead Product Manager at Global Fintech,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Enterprise Sales Manager,First Point Group,"Hanoi, Hanoi, Vietnam"
"HR Manager, Kobiton",Kobiton,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Account Manager,TSP DIGITAL PERFORMANCE AGENCY,"Ho Chi Minh City, Vietnam"
IT Manager,JAC Group,Vietnam
Application Presales Consultant,Fujitsu Vietnam Ltd,"Quận 1, Ho Chi Minh City, Vietnam"
Software Engineer,Orange Logic,Ho Chi Minh City Metropolitan Area
[HCM] Technical Writer - Research & Engineering team (Blockchain/Crypto/DeFi),KyberNetwork,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[VN] Manual QA Engineer,Doctor Anywhere,"Ho Chi Minh City, Vietnam"
Regional IT Technical Coordinator (APAC),Havas Group - Ekino Vietnam,"Phường 11, Ho Chi Minh City, Vietnam"
"[Remote, Part-time] Marketing Executive",Ready,Vietnam
[BOSCH] DevOps Engineer (Continuous Integration) - All level,Bosch Global Software Technologies Vietnam,"Ho Chi Minh City, Vietnam"
Data Governance Leader - APAC,Cargill,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solutions Architect,GFT Group,"Ho Chi Minh City, Vietnam"
Software Tester,Fujitsu Vietnam Ltd,"Hanoi, Hanoi, Vietnam"
"Social Media Copywriter (APAC Remote/HCMC, relocation support available)",Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Infrastructure Engineer,Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Network System Administrator,Rohto-Mentholatum Việt Nam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"R-13582 Manager, Data Services Delivery",Rackspace Technology,Vietnam
Member Experience Director,Dreamplex,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[Hanoi/HCMC] Community Associate/Specialist (Blockchain/Crypto/DeFi),KyberNetwork,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cho Tot Application Security Engineer,Carousell Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA TEST ENGINEERING MANAGER,The MISSION Group,"Ho Chi Minh City, Vietnam"
Data Analyst,Ninja Van,"Hanoi, Hanoi, Vietnam"
"Property Manager/Operation Manager (HCM, HN, Phu Quoc, Dong Nai & BR_VT)",CBRE,"Biên Hòa, Dong Nai, Vietnam"
Hardware Engineer,Dat Bike,"Ho Chi Minh City, Vietnam"
Technical Lead,BIDV MetLife,Hanoi Capital Region
Teaching Operations Coordinator,British Council,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Legal Counsel,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
System Development Intern,VNG Corporation,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Facilities Admin,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Business Development,Entravision MediaDonuts,"Ho Chi Minh City, Vietnam"
Telephone Operator,Sheraton Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Penetration Tester/Expert - CREST & OSCP Certification,Red Team Partners,"Quân Phuong Ha Trai, Vietnam"
"HR Executive, Kobiton",Kobiton,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Technical Engineer (IT),Fujitsu Vietnam Ltd,"Hanoi, Hanoi, Vietnam"
HCMC - (Junior/Middle/Senior) Manual Tester,Amaris Consulting,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Client Remote Services Engineer,"Edge Technology Group, a THRIVE Company","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Assistant Facilities Manager,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior DevOps (AWS, Terraform, K8S)",GFT Group,"Ho Chi Minh City, Vietnam"
"Brand Technical Specialist - Security (Hanoi, Vietnam)",IBM,"Hanoi, Hanoi, Vietnam"
"Senior Officer, DevSecOps (40001147)",Techcombank (TCB),Vietnam
[Hanoi/HCMC] 1 Data Scientist (Blockchain/Crypto/DeFi),Kyber Network,"Ho Chi Minh City, Vietnam"
"Director, DevSecOps (40001141)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Senior QA Engineer - Top fintech product on the world,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Operation Director - Microsoft Global Partner,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Presales Engineer,TPIsoftware,Ho Chi Minh City Metropolitan Area
Nhân viên IT,Công Ty Cpđt Tinholdings,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Sales IT Manager,Procter & Gamble,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Guest Experience Manager,Premier Residences Phu Quoc Emerald Bay Managed by Accor,"Phú Quốc, Kien Giang, Vietnam"
Guest Experience Manager,Premier Residences Phu Quoc Emerald Bay Managed by Accor,"Phú Quốc, Kien Giang, Vietnam"
Senior Associate - IT Risk Assurance (ERP),PwC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
PEOPLE & CULTURE GENERALIST (Compensation & Benefits focus),IKEA,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Regional Sales Manager,Palo Alto Networks,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Giám Đốc Siêu Thị/Store General Manager,MM Mega Market Vietnam,"Ho Chi Minh City, Vietnam"
